gene_id,m-SES-leaf-roll-2,m-SES-mature-leaf-3,m-SES-stem3-2,m-SES-stem6-1,m-SES-stem9-1,pre-m-SES-leaf-roll,pre-m-SES-m-leaf,pre-m-SES-stem-3,pre-m-SES-stem-6,pre-m-SES-stem-9,seedling-Sleaf1,seedling-Sleaf2,seedling-Sleaf3,seedling-Sstem1,seedling-Sstem2,seedling-Sstem3,SES1-1,SES1-2,SES1-3,SES2-1,SES2-2,SES2-3,SES3-1,SES3-2,SES3-3,SES4-1,SES4-2,SES4-3,SES5-1,SES5-2,SES5-3,SES6-1,SES6-2,SES6-3,SES7-1,SES7-2,SES7-3,SES8-1,SES8-2,SES8-3,SES9-1,SES9-2,SES9-3,SES10-1,SES10-2,SES10-3,SES11-1,SES11-2,SES11-3,SES12-1,SES12-2,SES12-3,Ss1-1.RSEM,Ss1-2.RSEM,Ss1-3.RSEM,Ss10-1.RSEM,Ss10-2.RSEM,Ss10-3.RSEM,Ss11-1.RSEM,Ss11-2.RSEM,Ss11-3.RSEM,Ss12-1.RSEM,Ss12-2.RSEM,Ss12-3.RSEM,Ss13-1.RSEM,Ss13-2.RSEM,Ss13-3.RSEM,Ss14-1.RSEM,Ss14-2.RSEM,Ss14-3.RSEM,Ss15-1.RSEM,Ss15-2.RSEM,Ss2-1.RSEM,Ss2-2.RSEM,Ss2-3.RSEM,Ss3-1.RSEM,Ss3-2.RSEM,Ss3-3.RSEM,Ss4-1.RSEM,Ss4-2.RSEM,Ss4-3.RSEM,Ss5-1.RSEM,Ss5-2.RSEM,Ss5-3.RSEM,Ss6-1.RSEM,Ss6-2.RSEM,Ss6-3.RSEM,Ss7-1.RSEM,Ss7-2.RSEM,Ss7-3.RSEM,Ss8-1.RSEM,Ss8-2.RSEM,Ss8-3.RSEM,Ss9-1.RSEM,Ss9-2.RSEM,Ss9-3.RSEM
Sspon.008A0000163,1.89114,1.73345,1.13666,1.843,2.54635,1.46278,0.966189,1.11039,2.13139,1.71548,0.871793,1.1969,0.703085,1.74147,1.6985,1.26568,0.820309,1.84629,1.29322,0.548259,0.688058,0.588644,0.964769,1.27557,1.40203,1.06449,2.00429,2.29647,1.47229,0.961654,1.44951,2.41527,1.84466,1.26789,1.38426,1.4915,1.29275,2.75753,1.59804,1.8368,3.24987,2.39523,2.34588,1.75249,2.70888,1.56406,2.25752,2.10748,2.59384,1.54732,1.3916,0.640838,6.98,8.47,9.55,2.32,3.81,5.39,2.62,4.27,2.27,3.58,4.29,5.54,6.55,3.69,3.96,5.22,5.48,7.61,6.02,4.0,2.99,5.73,5.02,4.28,1.98,4.03,4.81,2.37,5.61,5.31,4.83,3.03,5.7,3.84,3.4,3.31,5.08,7.65,4.64,3.74,5.48,4.75,4.4,6.99
Sspon.008A0000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.19,1.09,0.64,0.29,0.49,1.11,0.76,0.44,0.74,0.82,0.33,0.18,0.49,0.86,1.57,0.68,0.68,0.77,1.54,1.76,1.11,0.68,0.9,0.53,0.67,0.67,0.17,0.0,1.27,0.91,0.47,0.44,1.01,0.38,0.9,0.75,0.21,0.74,0.63,1.43,0.64,0.92,0.92
Sspon.008A0000165,10.6833,4.7446,0.0,0.626873,1.41217,3.91533,5.02188,0.0,0.604536,1.8639,1.23844,2.28146,1.85711,0.467017,0.202009,0.418102,0.0854931,0.340577,0.221669,0.27548,0.507496,0.513923,0.527758,0.794953,0.401167,0.930256,0.557822,0.689352,1.09097,1.00186,1.00123,1.02532,1.57,0.320515,0.790564,0.777428,0.911244,0.499061,0.35448,0.35204,0.840217,0.603356,0.356921,0.427938,0.66883,1.01569,0.825663,0.537907,0.472409,0.283468,0.428832,0.549867,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000166,5.06781,3.88342,3.05957,3.51441,4.36717,2.8907,3.8789,5.3781,5.91053,6.36722,1.87271,2.71996,3.14399,3.37698,3.58281,5.04019,3.25152,4.28395,3.77038,2.21359,2.60364,2.5636,3.49232,4.58041,3.73788,3.71684,6.23043,6.58946,6.82735,5.85093,5.28836,5.19284,6.06053,5.22763,6.94939,8.08236,4.08812,7.94419,10.3862,6.06091,7.11043,5.8934,8.7931,5.58245,8.78863,7.83036,5.36899,5.35999,7.16511,4.0299,4.44755,1.60071,10.72,11.49,14.36,4.06,4.07,4.69,5.92,4.86,5.63,5.24,5.86,1.54,4.66,5.9,4.99,6.06,2.54,4.92,8.35,6.67,10.45,8.0,6.32,3.24,7.0,3.22,3.6,6.43,2.6,5.19,4.46,6.79,5.4,7.24,6.89,7.9,5.84,6.41,6.41,7.89,5.73,3.76,5.66,4.76
Sspon.008A0000167,12.3702,17.5655,0.164202,1.29997,1.51087,7.54853,17.7216,0.0,0.843504,4.8776,2.05553,1.41847,1.26709,0.808697,1.08749,0.760991,0.658705,0.686724,0.753384,3.51128,1.32334,1.14951,1.20883,1.54293,0.505189,1.00865,1.38292,1.09544,1.70442,1.50334,2.36471,2.07458,2.27704,2.59334,1.97759,1.73715,1.91271,0.973776,0.976122,1.05104,1.60162,1.2367,1.01332,1.34626,0.893649,0.904393,1.07132,1.25294,0.859764,0.466535,0.870181,2.73193,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000200,1.2994,1.72061,1.17598,1.595,1.50486,0.343245,1.00452,1.51606,2.89968,1.44386,0.871195,1.68445,1.8395,3.34317,3.56097,1.29045,0.325836,1.08056,0.458623,0.792354,0.641327,0.60506,2.00853,0.787192,0.289583,0.510754,0.26603,0.937515,0.0698846,1.71579,1.8343,1.24705,2.01894,1.59962,1.56897,1.71153,1.28453,0.534895,1.24429,1.76153,0.763372,2.1132,0.336246,1.39891,0.591361,0.310195,2.15015,0.579467,1.10243,0.756267,0.36145,0.781616,4.26,2.98,2.72,2.42,0.91,2.82,1.63,1.72,2.76,0.98,0.95,2.52,1.63,2.71,2.39,1.7,4.02,1.87,2.29,3.29,5.82,3.03,4.96,4.08,5.05,4.95,3.53,2.91,3.83,5.45,1.74,4.51,3.69,2.38,4.79,3.09,2.89,4.18,3.58,1.25,2.89,2.51,1.22,3.24
Sspon.008A0000201,1.80301,1.43406,0.813386,1.2251,1.22005,2.08869,1.03315,0.678558,1.66492,0.869838,2.49137,3.12004,3.01379,2.40081,1.97877,2.46874,3.33476,3.27895,2.85289,2.6032,2.2707,2.07888,2.69171,3.54158,2.81608,3.53651,4.45089,5.04433,4.36684,4.92725,3.88174,7.72373,7.39905,5.74191,7.58144,5.57207,6.00001,6.75128,5.1462,5.72219,6.57909,7.7662,5.24682,5.39976,5.27695,5.48077,4.85366,4.66362,5.85573,4.78893,4.06405,3.16186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000202,6.07841,5.29601,29.3979,22.1099,35.3083,7.68015,9.2609,30.9039,17.0402,17.3225,10.0876,10.5652,8.26313,15.2966,20.3916,18.2636,6.47461,4.45733,4.65879,3.99096,4.98191,6.06101,6.60618,7.66894,6.78686,4.10385,4.40945,8.84013,6.02394,4.71149,8.82521,6.09303,4.99062,5.13225,6.57742,4.57365,5.9472,5.6408,5.04907,4.90883,5.2462,5.50715,5.19984,6.46663,5.82741,5.56394,5.31808,5.91468,5.79204,4.99656,5.12845,5.02874,150.84,129.66,157.32,14.94,30.68,22.86,24.66,12.67,24.78,25.42,20.18,23.73,26.8,19.68,24.25,27.43,20.91,24.53,36.55,27.61,199.77,157.09,269.12,146.84,117.57,223.08,90.84,85.58,112.47,61.55,67.02,92.32,35.56,46.16,69.32,31.98,40.14,49.09,21.21,25.61,37.32,17.54,31.87,30.78
Sspon.008A0000203,2.65486,2.48117,5.66503,4.73248,4.73396,2.20276,1.44276,5.44201,4.66287,3.96958,3.6816,3.37973,3.03877,7.43269,6.00242,6.16552,2.32339,2.4244,2.45995,2.10521,2.73373,2.19505,2.43349,2.89534,3.25508,3.22623,4.28598,3.127,3.65768,3.76825,3.925,3.59691,3.75273,3.72344,4.67885,4.27054,4.00868,3.81076,4.06221,4.18945,3.30214,3.58095,2.87719,3.5739,4.12701,4.03133,2.6655,4.3266,3.9817,3.24049,2.79515,2.43988,17.88,20.38,17.28,5.09,8.11,7.34,5.36,6.92,6.81,5.85,5.68,6.86,7.64,5.2,6.66,6.25,5.92,6.73,7.55,6.57,13.87,13.06,13.68,9.4,6.59,8.69,6.81,7.04,8.22,7.9,7.19,8.19,8.78,8.04,7.66,7.81,9.35,8.94,6.7,9.27,7.02,7.42,9.7,7.14
Sspon.008A0000204,1.50293,0.118318,17.0338,120.008,112.558,0.606316,0.301226,1.0098,110.521,193.892,0.184816,0.24971,0.349194,1.37135,1.81951,1.77948,0.026294,0.021358,0.0,0.00572712,0.0975758,0.0309701,0.0,0.00692411,0.0299436,0.0540878,0.51705,0.25279,0.432295,0.0967321,1.39707,0.362546,0.60239,1.25806,1.05927,0.438619,0.611021,0.425049,4.48116,0.46845,0.168767,0.205554,0.479908,0.109843,0.134096,0.211789,0.322448,0.388828,0.051561,0.0402194,0.0767654,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
